text,emoji
i was feeling threatened that it might be taken away from me,fear
i actually feel more compassionate towards them,love
i feel that the very foundations of my faith have been shaken to the core,fear
i feel shy to admit that i was struggling to haul a single computer up,fear
i was feeling whether it be mad sad disappointed or peaceful,anger
i remember feeling envious but then why would a young healthy person envy someone who's just barely survived,anger
i do think we have a decent scheme worked out which will be generous enough to provide the average player with plenty of free experience without forcing them to feel crappy and that they have to pay to get an enjoyable game,sadness
i suppose we all feel a little inhibited when it comes to picking up the phone and calling someone we re not very close to anymore,sadness
i always feel very threatened by her when it comes to guys cox you no she gets a lot of contact with the guys i like like my first and bf,fear
i cant really explain the feeling i get inside when someone is mad at me,anger
i feel ecstatic and privileged,joy
i need to do everything i can to push away the boundaries i feel listless and overwhelmed,sadness
i was playing with friends then i decided to splash some sand into a car which was moving nearby the driver got angry and came to report to my parents,fear
i feel so so heartbroken,sadness
i've been comfort eating because i'm still feeling rubbish and i havent bothered to log most of it so theres no point checking on my food log yeah i know some of you do that,anger
i don't want to i feel irritated,anger
i dun feel blamed,sadness
i know its been months but i still feel envious of my friends who are having their school holidays,anger
i still feel worthless deep down inside,sadness
i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,joy
i woke up feeling distraught,fear
i also miss the old curious child within me i just feel that the curious child inside me is dying slowly upon the shock of knowing that the world is not as beautiful as we thought it was,surprise
i'm sick of feeling crappy,sadness
i made it and enjoyed most of my run but now i'm feeling greedy,anger
i've realized over the last few months that i generally tend to feel tremendously dissatisfied after having sex with him,anger
i was challenged by the clip where richard gere gives julia roberts money to buy some pretty clothes she walks into an expensive boutique in her work clothes and the condescending staff refuse to serve her and leave her feeling humiliated,sadness
i visited finland a couple of weeks ago and albeit it was wonderful and extremely refreshing to be back in my hometown for the first time in four weeks after spending only a few days there i begun to feel slightly homesick homesick for tallinn,sadness
i was lying in bed last night after a day of making experiments from the usual suspects fabric plastic and feeling agitated that my issues with proper presentation had not made any headway over the course of a mere six hours,anger
i'm feeling fine,joy
i really hate that feeling when youre unsure about something,fear
i received the blanket i was absolutely amazed on how fluffy it is and extremely soft i really didnt think it was going to feel that amazing,surprise
i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,surprise
i feel so vulnerable to criticism like if my lunch stinks or if somebody comments on what i eat i have this embarrassed feeling,fear
i must not feel complacent,joy
i don't know what to feel as in i am not sure should i feel sad cause it is ending or should i feel glad that it is over and i can move on,joy
i was actual acceptable at compassionate others but i still didnt feel accepted by them,love
i see lyman i just feel more and more amazed about us,surprise
i feel distracted and its sometimes hard to talk to god and that used to be second nature to me,anger
i upset you over the last few days i'm ok the clouds are clearing and i'm feeling more positive,joy
i am able to write a full letter in insular minuscule and i will probably never have the skill of xviith century writing masters such as maria strick or jan van den velde but i feel that learning a craft is a worthwhile effort in and for itself,joy
i began to feel a cranky feeling of why the hell do i do what i do,anger
i thought maybe it was just my hands feeling funny but i touched my hair with my totally clean forearm and it became sticky,surprise
i feel like i should mention there was another sweet family with us,joy
i feel like that's the thing that happened with my dad i was too stubbornly loyal to let him dump me like a rotten piece of food,love
i do need constant reminders when i go through lulls in feeling submissive whether i like them or not,sadness
i asked her what she meant by shes gonna feel jealous having loada of girls over me and then she said maybee i do like you a bitt,anger
i grappled with was guilt that relatives and friends who usually communicate with me there would feel like i was ignoring them and i felt selfish still posting my burlesque and blog updates there without liking their photos and links,anger
i try to find something that does not make me feel foolish,sadness
i know it can take weeks for a book to go free on amazon and barnes amp noble and in this age where cents can buy a full length ebook i feel a little funny charging even cents for a work that is almost certain to be under pages possibly under,surprise
i'm not feeling real strong lately,joy
i feel surprised that scientists to actually question about how it is weird for the initial conditions of the universe to be fine tuned to very special values such that our universe is almost flat,surprise
i'm feeling extraordinarily dazed and bewildered this arvo for no particular reason and my muscles all hurt even though i dont actually have any,surprise
i know i shouldnt be reacting this way to it all but i cant help it and i feel terribly petty and horrid but this is the way i'm reacting and i have to deal with it,anger
i've been taking or milligrams or times recommended amount and i've fallen asleep a lot faster but i also feel like so funny,surprise
i feel like i had this bitchy undertone the whole convo like kinda sarcastic,anger
i should just relax for now but it feels so distinctly strange for me,fear
i feel a part of the family of the universe rather than fearful of it,fear
i feel very proud of my girls accomplishments this morning,joy
i was feeling sentimental and so it made sense to commemorate the milestone with a book,sadness
i often find myself feeling assaulted by a multitude of sense impressions,fear
i feel wonderful earley said,joy
i hope you do because otherwise your wife will start to feel if she hasn't already unimportant in your life,sadness
i feel annoyed that those who bought tickets and sat through the screening could even find distraction with such offensive scenes and sounds flashed before them,anger
when going to the exam,fear
i knows is the boy makes her feel weird and yuuki doesnt know what to tell her,surprise
i feel strange out of sorts and i wont resort to this again,fear
i got off in my previous post about how much the app maker leeches upset me at this conference and so i feel like i should mention who i was most impressed with there,surprise
i dont hallucinate instead i slowly continue along my little path until i feel needlessly violent and overly happy about it,anger
